date;qty
01.09.2009;179667
02.09.2009;177670
03.09.2009;152112
04.09.2009;142938
05.09.2009;130741
06.09.2009;195866
07.09.2009;162560
08.09.2009;175382
09.09.2009;139323
10.09.2009;195388
11.09.2009;113806
12.09.2009;80009
13.09.2009;162270
14.09.2009;131001
15.09.2009;167366
16.09.2009;133252
17.09.2009;163392
18.09.2009;131881
19.09.2009;95233
20.09.2009;134325
21.09.2009;136637
22.09.2009;142415
23.09.2009;115107
24.09.2009;100087
25.09.2009;97076
26.09.2009;93977
27.09.2009;132807
28.09.2009;81813
29.09.2009;133216
30.09.2009;82787
01.10.2009;137265
02.10.2009;95467
03.10.2009;61521
04.10.2009;83576
05.10.2009;87239
06.10.2009;104735
07.10.2009;106690
08.10.2009;147322
09.10.2009;79056
10.10.2009;68071
11.10.2009;85294
12.10.2009;116639
13.10.2009;158384
14.10.2009;104573
15.10.2009;139175
16.10.2009;96893
17.10.2009;58306
18.10.2009;131872
19.10.2009;88409
20.10.2009;100495
21.10.2009;91384
22.10.2009;104801
23.10.2009;63994
24.10.2009;64599
25.10.2009;94448
26.10.2009;82291
27.10.2009;112596
28.10.2009;110199
29.10.2009;79084
30.10.2009;62060
31.10.2009;58374
01.11.2009;89741
02.11.2009;62857
03.11.2009;108959
04.11.2009;86681
05.11.2009;121397
06.11.2009;77167
07.11.2009;100554
08.11.2009;156914
09.11.2009;100380
10.11.2009;127164
11.11.2009;140952
12.11.2009;150750
13.11.2009;117565
14.11.2009;120945
15.11.2009;88307
16.11.2009;37
17.11.2009;98
18.11.2009;1444
19.11.2009;4222
20.11.2009;92
21.11.2009;20
22.11.2009;197
23.11.2009;26432
24.11.2009;167576
25.11.2009;157969
26.11.2009;124145
27.11.2009;60264
28.11.2009;42890
29.11.2009;44633
30.11.2009;73172
01.12.2009;95066
02.12.2009;104300
03.12.2009;72698
04.12.2009;77680
05.12.2009;52000
06.12.2009;64916
07.12.2009;36613
08.12.2009;66506
09.12.2009;66917
10.12.2009;61468
11.12.2009;32350
12.12.2009;30635
13.12.2009;64312
14.12.2009;57815
15.12.2009;83972
16.12.2009;77074
17.12.2009;105074
18.12.2009;87811
19.12.2009;80850
20.12.2009;116053
21.12.2009;106561
22.12.2009;165873
23.12.2009;96867
24.12.2009;107469
25.12.2009;72314
26.12.2009;66586
27.12.2009;125199
28.12.2009;91544
29.12.2009;76995
30.12.2009;97289
31.12.2009;41442
01.01.2010;0
02.01.2010;0
03.01.2010;39513
04.01.2010;93550
05.01.2010;175855
06.01.2010;100213
07.01.2010;52789
08.01.2010;39125
09.01.2010;70882
10.01.2010;99995
11.01.2010;100294
12.01.2010;78594
13.01.2010;31503
14.01.2010;64126
15.01.2010;72933
16.01.2010;66519
17.01.2010;103456
18.01.2010;116631
19.01.2010;113619
20.01.2010;61065
21.01.2010;90820
22.01.2010;118734
23.01.2010;94585
24.01.2010;194196
25.01.2010;169815
26.01.2010;150454
27.01.2010;92710
28.01.2010;142134
29.01.2010;98368
30.01.2010;106155
31.01.2010;180401
01.02.2010;193196
02.02.2010;182635
03.02.2010;82393
04.02.2010;151824
05.02.2010;108371
06.02.2010;109786
07.02.2010;174740
08.02.2010;80359
09.02.2010;109915
10.02.2010;110318
11.02.2010;151211
12.02.2010;120556
13.02.2010;88851
14.02.2010;165293
15.02.2010;124298
16.02.2010;192600
17.02.2010;135040
18.02.2010;103287
19.02.2010;130989
20.02.2010;103532
21.02.2010;228436
22.02.2010;175360
23.02.2010;235217
24.02.2010;126039
25.02.2010;132742
26.02.2010;119674
27.02.2010;129653
28.02.2010;239198
01.03.2010;156390
02.03.2010;238275
03.03.2010;186647
04.03.2010;177120
05.03.2010;152024
06.03.2010;116854
07.03.2010;237142
08.03.2010;116696
09.03.2010;173871
10.03.2010;88805
11.03.2010;149443
12.03.2010;190786
13.03.2010;115776
14.03.2010;183563
15.03.2010;128124
16.03.2010;177020
17.03.2010;132537
18.03.2010;124130
19.03.2010;100258
20.03.2010;48162
21.03.2010;111440
22.03.2010;82615
23.03.2010;118183
24.03.2010;136374
25.03.2010;110774
26.03.2010;69515
27.03.2010;81878
28.03.2010;117204
29.03.2010;83358
30.03.2010;131427
31.03.2010;88386
01.04.2010;202925
02.04.2010;107198
03.04.2010;95813
04.04.2010;170481
05.04.2010;149210
06.04.2010;204973
07.04.2010;188797
08.04.2010;175641
09.04.2010;171181
10.04.2010;80440
11.04.2010;170007
12.04.2010;119834
13.04.2010;191878
14.04.2010;176504
15.04.2010;216913
16.04.2010;168632
17.04.2010;165077
18.04.2010;196888
19.04.2010;164419
20.04.2010;223167
21.04.2010;181922
22.04.2010;166170
23.04.2010;162567
24.04.2010;113170
25.04.2010;230670
26.04.2010;159878
27.04.2010;176930
28.04.2010;183792
29.04.2010;149544
30.04.2010;107551
01.05.2010;129540
02.05.2010;144251
03.05.2010;100835
04.05.2010;164039
05.05.2010;112846
06.05.2010;103483
07.05.2010;100361
08.05.2010;91355
09.05.2010;143160
10.05.2010;84221
11.05.2010;165976
12.05.2010;112609
13.05.2010;128448
14.05.2010;102104
15.05.2010;106760
16.05.2010;164297
17.05.2010;146571
18.05.2010;141188
19.05.2010;173599
20.05.2010;145302
21.05.2010;104323
22.05.2010;70382
23.05.2010;174720
24.05.2010;84559
25.05.2010;153936
26.05.2010;133550
27.05.2010;130763
28.05.2010;69463
29.05.2010;85651
30.05.2010;125904
31.05.2010;72258
01.06.2010;175157
02.06.2010;130896
03.06.2010;116153
04.06.2010;69280
05.06.2010;66306
06.06.2010;144009
07.06.2010;79385
08.06.2010;121759
09.06.2010;90425
10.06.2010;109286
11.06.2010;63124
12.06.2010;86659
13.06.2010;145850
14.06.2010;68222
15.06.2010;149090
16.06.2010;113108
17.06.2010;69110
18.06.2010;77712
19.06.2010;92581
20.06.2010;172905
21.06.2010;96643
22.06.2010;197113
23.06.2010;194201
24.06.2010;107376
25.06.2010;56209
26.06.2010;96056
27.06.2010;120054
28.06.2010;117734
29.06.2010;147341
30.06.2010;152646
01.07.2010;92608
02.07.2010;104426
03.07.2010;115798
04.07.2010;163873
05.07.2010;145529
06.07.2010;174170
07.07.2010;126263
08.07.2010;114195
09.07.2010;75806
10.07.2010;116305
11.07.2010;147070
12.07.2010;131674
13.07.2010;193033
14.07.2010;135478
15.07.2010;63942
16.07.2010;118946
17.07.2010;100884
18.07.2010;192799
19.07.2010;139471
20.07.2010;210880
21.07.2010;132313
22.07.2010;68711
23.07.2010;75304
24.07.2010;97260
25.07.2010;176847
26.07.2010;180406
27.07.2010;228724
28.07.2010;233816
29.07.2010;218654
30.07.2010;131427
31.07.2010;134527
01.08.2010;207602
02.08.2010;165942
03.08.2010;253248
04.08.2010;203024
05.08.2010;156925
06.08.2010;147623
07.08.2010;175110
08.08.2010;242540
09.08.2010;209632
10.08.2010;255780
11.08.2010;268370
12.08.2010;144138
13.08.2010;166045
14.08.2010;112118
15.08.2010;264828
16.08.2010;194395
17.08.2010;229677
18.08.2010;286647
19.08.2010;212379
20.08.2010;184925
21.08.2010;159161
22.08.2010;260607
23.08.2010;229522
24.08.2010;288048
25.08.2010;255945
26.08.2010;302472
27.08.2010;257360
28.08.2010;117736
29.08.2010;226762
30.08.2010;254829
31.08.2010;283062
01.09.2010;261481
02.09.2010;337883
03.09.2010;291151
04.09.2010;223949
05.09.2010;237374
06.09.2010;256360
07.09.2010;244808
08.09.2010;237956
09.09.2010;317912
10.09.2010;183998
11.09.2010;242268
12.09.2010;180789
13.09.2010;193662
14.09.2010;234948
15.09.2010;218607
16.09.2010;236750
17.09.2010;240151
18.09.2010;209098
19.09.2010;200023
20.09.2010;210500
21.09.2010;227728
22.09.2010;280167
23.09.2010;254672
24.09.2010;179953
25.09.2010;178495
26.09.2010;147484
27.09.2010;188627
28.09.2010;177630
29.09.2010;211084
30.09.2010;220829
01.10.2010;115486
02.10.2010;211617
03.10.2010;192989
04.10.2010;222244
05.10.2010;248366
06.10.2010;225865
07.10.2010;219369
08.10.2010;177686
09.10.2010;170101
10.10.2010;223860
11.10.2010;209613
12.10.2010;182531
13.10.2010;236803
14.10.2010;211403
15.10.2010;118337
16.10.2010;214954
17.10.2010;163626
18.10.2010;257482
19.10.2010;237668
20.10.2010;232925
21.10.2010;210729
22.10.2010;153006
23.10.2010;191972
24.10.2010;151764
25.10.2010;204304
26.10.2010;155770
27.10.2010;200196
28.10.2010;205438
29.10.2010;121890
30.10.2010;194629
31.10.2010;179617
01.11.2010;157222
02.11.2010;183127
03.11.2010;199282
04.11.2010;133505
05.11.2010;88116
06.11.2010;116589
07.11.2010;120048
08.11.2010;128951
09.11.2010;119445
10.11.2010;192432
11.11.2010;121609
12.11.2010;65214
13.11.2010;100558
14.11.2010;136754
15.11.2010;108307
16.11.2010;5936
17.11.2010;432
18.11.2010;1183
19.11.2010;565
20.11.2010;1043
21.11.2010;490
22.11.2010;36566
23.11.2010;236127
24.11.2010;168658
25.11.2010;233196
26.11.2010;127409
27.11.2010;113874
28.11.2010;123925
29.11.2010;143211
30.11.2010;89287
01.12.2010;132541
02.12.2010;163844
03.12.2010;118225
04.12.2010;64366
05.12.2010;143682
06.12.2010;245036
07.12.2010;181188
08.12.2010;232893
09.12.2010;261150
10.12.2010;173086
11.12.2010;244916
12.12.2010;127034
13.12.2010;165612
14.12.2010;173052
15.12.2010;171731
16.12.2010;180757
17.12.2010;154992
18.12.2010;142639
19.12.2010;107842
20.12.2010;193239
21.12.2010;158338
22.12.2010;275377
23.12.2010;214225
24.12.2010;168212
25.12.2010;187737
26.12.2010;169128
27.12.2010;212016
28.12.2010;139642
29.12.2010;197007
30.12.2010;136511
31.12.2010;62538
01.01.2011;0
02.01.2011;44339
03.01.2011;149236
04.01.2011;250226
05.01.2011;281161
06.01.2011;199509
07.01.2011;108652
08.01.2011;245366
09.01.2011;225655
10.01.2011;169437
11.01.2011;158408
12.01.2011;228883
13.01.2011;138478
14.01.2011;203734
15.01.2011;197130
16.01.2011;262043
17.01.2011;241828
18.01.2011;207952
19.01.2011;255131
20.01.2011;124346
21.01.2011;204370
22.01.2011;181938
23.01.2011;190257
24.01.2011;261806
25.01.2011;234411
26.01.2011;556857
27.01.2011;233014
28.01.2011;260629
29.01.2011;217656
30.01.2011;221962
31.01.2011;255775
01.02.2011;221155
02.02.2011;256444
03.02.2011;204327
04.02.2011;169836
05.02.2011;227444
06.02.2011;217120
07.02.2011;212801
08.02.2011;288307
09.02.2011;293841
10.02.2011;370030
11.02.2011;316810
12.02.2011;228839
13.02.2011;238147
14.02.2011;237943
15.02.2011;215047
16.02.2011;282085
17.02.2011;330671
18.02.2011;337769
19.02.2011;247722
20.02.2011;308223
21.02.2011;276454
22.02.2011;329965
23.02.2011;238189
24.02.2011;301137
25.02.2011;241433
26.02.2011;269901
27.02.2011;291689
28.02.2011;357965
01.03.2011;294154
02.03.2011;336694
03.03.2011;336274
04.03.2011;284709
05.03.2011;286923
06.03.2011;317123
07.03.2011;253129
08.03.2011;209141
09.03.2011;304173
10.03.2011;331680
11.03.2011;230823
12.03.2011;245814
13.03.2011;321596
14.03.2011;329498
15.03.2011;295868
16.03.2011;334893
17.03.2011;306887
18.03.2011;300895
19.03.2011;286602
20.03.2011;254392
21.03.2011;339659
22.03.2011;241275
23.03.2011;370631
24.03.2011;310672
25.03.2011;236710
26.03.2011;234379
27.03.2011;211965
28.03.2011;242657
29.03.2011;198529
30.03.2011;249275
31.03.2011;205003
01.04.2011;118552
02.04.2011;181383
03.04.2011;214245
04.04.2011;220253
05.04.2011;224081
06.04.2011;274313
07.04.2011;294558
08.04.2011;225568
09.04.2011;259518
10.04.2011;264470
11.04.2011;225383
12.04.2011;223375
13.04.2011;289118
14.04.2011;266271
15.04.2011;158138
16.04.2011;259954
17.04.2011;222878
18.04.2011;237092
19.04.2011;317238
20.04.2011;261317
21.04.2011;295585
22.04.2011;254903
23.04.2011;230876
24.04.2011;226611
25.04.2011;235963
26.04.2011;250053
27.04.2011;280967
28.04.2011;287942
29.04.2011;256812
30.04.2011;206886
01.05.2011;237517
02.05.2011;257265
03.05.2011;240301
04.05.2011;317416
05.05.2011;260003
06.05.2011;278310
07.05.2011;259789
08.05.2011;261815
09.05.2011;200290
10.05.2011;304185
11.05.2011;280579
12.05.2011;285116
13.05.2011;170592
14.05.2011;204793
15.05.2011;248630
16.05.2011;226114
17.05.2011;258776
18.05.2011;202429
19.05.2011;257752
20.05.2011;160374
21.05.2011;187671
22.05.2011;224096
23.05.2011;199169
24.05.2011;225313
25.05.2011;181559
26.05.2011;249057
27.05.2011;138344
28.05.2011;252508
29.05.2011;239603
30.05.2011;211726
31.05.2011;216765
01.06.2011;203846
02.06.2011;225419
03.06.2011;190306
04.06.2011;211704
05.06.2011;209364
06.06.2011;200732
07.06.2011;203444
08.06.2011;214788
09.06.2011;278071
10.06.2011;136522
11.06.2011;175597
12.06.2011;210506
13.06.2011;138697
14.06.2011;244418
15.06.2011;184753
16.06.2011;164686
17.06.2011;218550
18.06.2011;203014
19.06.2011;201347
20.06.2011;244715
21.06.2011;207703
22.06.2011;206019
23.06.2011;263797
24.06.2011;135002
25.06.2011;145257
26.06.2011;159115
27.06.2011;142140
28.06.2011;193869
29.06.2011;246721
30.06.2011;215747
01.07.2011;281674
02.07.2011;213528
03.07.2011;226771
04.07.2011;336364
05.07.2011;342735
06.07.2011;346141
07.07.2011;338397
08.07.2011;288042
09.07.2011;253461
10.07.2011;330334
11.07.2011;254303
12.07.2011;384038
13.07.2011;261140
14.07.2011;300717
15.07.2011;366269
16.07.2011;351517
17.07.2011;248484
18.07.2011;325564
19.07.2011;309158
20.07.2011;304905
21.07.2011;295591
22.07.2011;337791
23.07.2011;223144
24.07.2011;240981
25.07.2011;290090
26.07.2011;331814
27.07.2011;474950
28.07.2011;292379
29.07.2011;265931
30.07.2011;230988
31.07.2011;312948
01.08.2011;231262
02.08.2011;254858
03.08.2011;321414
04.08.2011;296139
05.08.2011;204853
06.08.2011;202622
07.08.2011;225219
08.08.2011;272599
09.08.2011;304875
10.08.2011;249872
11.08.2011;312707
12.08.2011;199062
13.08.2011;280189
14.08.2011;248375
15.08.2011;358789
16.08.2011;472920
17.08.2011;333077
18.08.2011;419465
19.08.2011;378034
20.08.2011;272357
21.08.2011;283293
22.08.2011;285915
23.08.2011;353667
24.08.2011;309447
25.08.2011;332564
26.08.2011;309969
27.08.2011;289453
28.08.2011;240227
29.08.2011;322353
30.08.2011;278044
31.08.2011;260961
01.09.2011;266229
02.09.2011;301375
03.09.2011;247834
04.09.2011;213923
05.09.2011;283864
06.09.2011;250986
07.09.2011;340030
08.09.2011;282435
09.09.2011;333501
10.09.2011;298795
11.09.2011;273453
12.09.2011;245539
13.09.2011;272486
14.09.2011;328223
15.09.2011;323704
16.09.2011;311304
17.09.2011;304235
18.09.2011;257141
19.09.2011;327064
20.09.2011;307293
21.09.2011;335041
22.09.2011;265884
23.09.2011;350982
24.09.2011;249797
25.09.2011;263130
26.09.2011;302685
27.09.2011;248259
28.09.2011;341296
29.09.2011;336630
30.09.2011;332115
01.10.2011;228486
02.10.2011;266421
03.10.2011;259391
04.10.2011;318225
05.10.2011;253318
06.10.2011;300251
07.10.2011;306680
08.10.2011;247042
09.10.2011;297239
10.10.2011;298245
11.10.2011;257896
12.10.2011;234972
13.10.2011;299626
14.10.2011;228495
15.10.2011;167239
16.10.2011;228423
17.10.2011;242031
18.10.2011;244232
19.10.2011;272348
20.10.2011;277256
21.10.2011;238865
22.10.2011;288835
23.10.2011;241535
24.10.2011;225029
25.10.2011;242886
26.10.2011;241087
27.10.2011;295708
28.10.2011;202702
29.10.2011;189279
30.10.2011;174627
31.10.2011;186288
01.11.2011;252951
02.11.2011;197143
03.11.2011;228429
04.11.2011;63594
05.11.2011;157398
06.11.2011;204553
