EVENT;LINK;DATE
UFC 79: Nemesis;/events/details/21;Dec. 29, 2007
WEC 31: Faber vs. Curran;/events/details/198;Dec. 12, 2007
UFC - TUF 6 Finale;/events/details/22;Dec. 8, 2007
Fury FC 5: Final Conflict;/events/details/376;Dec. 6, 2007
UFC 78: Validation;/events/details/23;Nov. 17, 2007
Strikeforce - Four Men Enter, One Man Survives;/events/details/253;Nov. 16, 2007
EliteXC - Renegade;/events/details/239;Nov. 10, 2007
IFL - World Grand Prix Semifinals;/events/details/272;Nov. 3, 2007
K-1 Hero's Korea 2007;/events/details/505;Oct. 28, 2007
UFC 77: Hostile Territory;/events/details/24;Oct. 20, 2007
HCF - Title Wave;/events/details/386;Oct. 19, 2007
Strikeforce - Playboy Mansion;/events/details/254;Sep. 29, 2007
Cage Rage 23: Unbelievable;/events/details/418;Sep. 22, 2007
UFC 76: Knockout;/events/details/25;Sep. 22, 2007
IFL - 2007 Team Championship Final;/events/details/273;Sep. 20, 2007
UFC Fight Night 11;/events/details/26;Sep. 19, 2007
K-1 Hero's 10;/events/details/469;Sep. 17, 2007
EliteXC - Uprising;/events/details/241;Sep. 15, 2007
UFC 75: Champion vs. Champion;/events/details/27;Sep. 8, 2007
WEC 30: McCullough vs. Crunkilton;/events/details/199;Sep. 5, 2007
UFC 74: Respect;/events/details/28;Aug. 25, 2007
WEC 29: Condit vs. Larson;/events/details/200;Aug. 5, 2007
Fury FC 4: High Voltage;/events/details/375;Aug. 4, 2007
IFL - 2007 Semifinals;/events/details/274;Aug. 2, 2007
EliteXC - ShoXC 1;/events/details/243;Jul. 27, 2007
UFC 73: Stacked;/events/details/29;Jul. 7, 2007
K-1 - World GP 2007 in Amsterdam;/events/details/470;Jun. 23, 2007
UFC - TUF 5 Finale;/events/details/30;Jun. 23, 2007
Strikeforce - Shamrock vs. Baroni;/events/details/255;Jun. 22, 2007
UFC 72: Victory;/events/details/31;Jun. 16, 2007
UFC Fight Night 10;/events/details/32;Jun. 12, 2007
WEC 28: Faber vs. Farrar;/events/details/201;Jun. 3, 2007
K-1 Dynamite!! USA;/events/details/318;Jun. 2, 2007
TKO 29;/events/details/334;Jun. 1, 2007
UFC 71: Liddell vs. Jackson;/events/details/33;May. 26, 2007
WEC 27: Marshall vs. McElfresh;/events/details/202;May. 12, 2007
UFC 70: Nations Collide;/events/details/34;Apr. 21, 2007
Cage Rage 21: Judgement Day;/events/details/419;Apr. 21, 2007
BodogFight - Clash of Nations;/events/details/366;Apr. 14, 2007
PRIDE 34: Kamikaze;/events/details/123;Apr. 8, 2007
IFL - Moline;/events/details/279;Apr. 7, 2007
UFC 69: Shootout;/events/details/35;Apr. 7, 2007
UFC Fight Night 9;/events/details/36;Apr. 5, 2007
WEC 26: Condit vs. Alessio;/events/details/203;Mar. 24, 2007
K-1 Hero's 8;/events/details/520;Mar. 12, 2007
Floripa Fight 4;/events/details/381;Mar. 10, 2007
UFC 68: The Uprising;/events/details/37;Mar. 3, 2007
Pancrase - Rising 2;/events/details/340;Feb. 28, 2007
PRIDE 33: The Second Coming;/events/details/124;Feb. 24, 2007
BodogFight - Costa Rica 2/18;/events/details/488;Feb. 18, 2007
Shooto - Back to Our Roots 1;/events/details/341;Feb. 17, 2007
EliteXC - Destiny;/events/details/244;Feb. 10, 2007
Strikeforce - Young Guns;/events/details/256;Feb. 10, 2007
UFC 67: All or Nothing;/events/details/38;Feb. 3, 2007
UFC Fight Night 8;/events/details/39;Jan. 25, 2007
WEC 25: McCullough vs. Cope;/events/details/204;Jan. 20, 2007
PRIDE Shockwave 2006;/events/details/125;Dec. 31, 2006
K-1 Dynamite!! 2006;/events/details/506;Dec. 31, 2006
UFC 66: Liddell vs. Ortiz 2;/events/details/40;Dec. 30, 2006
IFL - Championship Final;/events/details/284;Dec. 29, 2006
BodogFight - St. Petersburg;/events/details/421;Dec. 16, 2006
UFC Fight Night 7;/events/details/41;Dec. 13, 2006
Strikeforce - Triple Threat;/events/details/257;Dec. 8, 2006
Fury FC 2;/events/details/374;Nov. 30, 2006
Storm Samurai 12;/events/details/382;Nov. 25, 2006
UFC 65: Bad Intentions;/events/details/42;Nov. 18, 2006
2H2H - Pride & Honor;/events/details/472;Nov. 12, 2006
UFC - TUF 4 Finale;/events/details/43;Nov. 11, 2006
Show Fight 5;/events/details/378;Nov. 9, 2006
PRIDE Bushido 13;/events/details/126;Nov. 5, 2006
PRIDE 32: The Real Deal;/events/details/127;Oct. 21, 2006
Shooto - Champion Carnival;/events/details/342;Oct. 14, 2006
UFC 64: Unstoppable;/events/details/44;Oct. 14, 2006
WEC 24: Full Force;/events/details/205;Oct. 12, 2006
UFC Fight Night - The Final Chapter;/events/details/45;Oct. 10, 2006
K-1 Hero's 7;/events/details/509;Oct. 9, 2006
Strikeforce - Tank vs. Buentello;/events/details/258;Oct. 7, 2006
Fury FC 1;/events/details/373;Sep. 27, 2006
IFL - Gracie vs. Miletich;/events/details/286;Sep. 23, 2006
UFC 63: Hughes vs. Penn;/events/details/46;Sep. 23, 2006
WPFC 1;/events/details/438;Sep. 15, 2006
PRIDE Final Conflict Absolute;/events/details/128;Sep. 10, 2006
PRIDE Bushido 12;/events/details/129;Aug. 27, 2006
UFC 62: Liddell vs. Sobral;/events/details/47;Aug. 26, 2006
UFC Fight Night 6;/events/details/48;Aug. 17, 2006
WEC 23: Hot August Fights;/events/details/206;Aug. 17, 2006
K-1 Hero's 6;/events/details/510;Aug. 5, 2006
WEC 22: The Hitmen;/events/details/207;Jul. 28, 2006
WFA - King of the Streets;/events/details/360;Jul. 22, 2006
UFC 61: Bitter Rivals;/events/details/49;Jul. 8, 2006
PRIDE Critical Countdown Absolute;/events/details/130;Jul. 1, 2006
UFC Fight Night 5;/events/details/50;Jun. 28, 2006
UFC - TUF 3 Finale;/events/details/51;Jun. 24, 2006
WEC 21: Tapout;/events/details/208;Jun. 15, 2006
WEF 6/10;/events/details/439;Jun. 10, 2006
Strikeforce - Revenge;/events/details/259;Jun. 9, 2006
PRIDE Bushido 11;/events/details/131;Jun. 4, 2006
UFC 60: Hughes vs. Gracie;/events/details/52;May. 27, 2006
PRIDE Total Elimination Absolute;/events/details/132;May. 5, 2006
WEC 20: Cinco de Mayhem;/events/details/209;May. 5, 2006
K-1 Hero's 5;/events/details/511;May. 3, 2006
Jungle Fight 6;/events/details/369;Apr. 29, 2006
IFL - Legends Championship 2006;/events/details/289;Apr. 29, 2006
Cage Rage 16: Critical Condition;/events/details/337;Apr. 22, 2006
ROTR 9;/events/details/489;Apr. 21, 2006
UFC 59: Reality Check;/events/details/53;Apr. 15, 2006
UFC Fight Night 4;/events/details/54;Apr. 6, 2006
PRIDE Bushido 10;/events/details/133;Apr. 2, 2006
WCFC - No Guts, No Glory;/events/details/471;Mar. 18, 2006
WEC 19: Undisputed;/events/details/210;Mar. 17, 2006
K-1 Hero's 4;/events/details/512;Mar. 15, 2006
Strikeforce - Shamrock vs. Gracie;/events/details/260;Mar. 10, 2006
UFC 58: USA vs. Canada;/events/details/55;Mar. 4, 2006
PRIDE 31: Unbreakable;/events/details/134;Feb. 26, 2006
UFC 57: Liddell vs. Couture 3;/events/details/56;Feb. 4, 2006
ROTR 8;/events/details/363;Jan. 20, 2006
UFC Fight Night 3;/events/details/57;Jan. 16, 2006
WEC 18: Unfinished Business;/events/details/211;Jan. 13, 2006
PRIDE Shockwave 2005;/events/details/135;Dec. 31, 2005
Cage Rage 14: Punishment;/events/details/336;Dec. 3, 2005
Shooto Brazil 9;/events/details/384;Dec. 3, 2005
DEEP 22;/events/details/391;Dec. 2, 2005
CWFC - Strike Force 4;/events/details/402;Nov. 26, 2005
UFC 56: Full Force;/events/details/58;Nov. 19, 2005
Shooto 2005 11/6;/events/details/344;Nov. 6, 2005
UFC - TUF 2 Finale;/events/details/59;Nov. 5, 2005
K-1 Hero's Seoul;/events/details/513;Nov. 5, 2005
PRIDE 30: Fully Loaded;/events/details/136;Oct. 23, 2005
WEC 17: Halloween Fury 4;/events/details/212;Oct. 14, 2005
K-1 World MAX 2005 Champions Challenge;/events/details/514;Oct. 12, 2005
Bushido Europe - Rotterdam Rumble;/events/details/388;Oct. 9, 2005
UFC 55: Fury;/events/details/60;Oct. 7, 2005
UFC Fight Night 2;/events/details/61;Oct. 3, 2005
CWFC - Strike Force 3;/events/details/401;Oct. 1, 2005
PRIDE Bushido 9: The Tournament;/events/details/137;Sep. 25, 2005
Predator FC 1;/events/details/377;Sep. 10, 2005
PRIDE Final Conflict 2005;/events/details/138;Aug. 28, 2005
UFC 54: Boiling Point;/events/details/62;Aug. 20, 2005
WEC 16: Clash of the Titans 2;/events/details/213;Aug. 18, 2005
UFC Fight Night 1;/events/details/63;Aug. 6, 2005
PRIDE Bushido 8;/events/details/139;Jul. 17, 2005
CWFC - Strike Force 2;/events/details/400;Jul. 16, 2005
Freedom Fight - Canada vs. USA;/events/details/399;Jul. 9, 2005
K-1 World Grand Prix Hawaii;/events/details/321;Jul. 9, 2005
K-1 Hero's 2;/events/details/515;Jul. 6, 2005
PRIDE Critical Countdown 2005;/events/details/140;Jun. 26, 2005
UFC 53: Heavy Hitters;/events/details/64;Jun. 4, 2005
PRIDE Bushido 7;/events/details/141;May. 22, 2005
WEC 15: Judgment Day;/events/details/214;May. 19, 2005
Cage Rage 11: Face Off;/events/details/335;Apr. 30, 2005
PRIDE Total Elimination 2005;/events/details/142;Apr. 23, 2005
UFC 52: Couture vs Liddell 2;/events/details/65;Apr. 16, 2005
UFC - TUF Finale;/events/details/66;Apr. 9, 2005
PRIDE Bushido 6;/events/details/143;Apr. 3, 2005
K-1 Hero's 1;/events/details/319;Mar. 26, 2005
PRIDE 29: Fists Of Fire;/events/details/144;Feb. 20, 2005
UFC 51: Super Saturday;/events/details/67;Feb. 5, 2005
Shooto 2005 1/29;/events/details/343;Jan. 29, 2005
TKO 19;/events/details/333;Jan. 29, 2005
WEC 13: Heavyweight Explosion;/events/details/216;Jan. 22, 2005
K-1 Dynamite!! 2004;/events/details/516;Dec. 31, 2004
PRIDE Shockwave 2004;/events/details/145;Dec. 31, 2004
SuperBrawl 38;/events/details/365;Dec. 12, 2004
ROTR 6;/events/details/362;Nov. 20, 2004
PRIDE 28: High Octane;/events/details/146;Oct. 31, 2004
DEEP 16;/events/details/390;Oct. 30, 2004
UFC 50: The War Of '04;/events/details/68;Oct. 22, 2004
WEC 12: Halloween Fury 3;/events/details/217;Oct. 21, 2004
PRIDE Bushido 5;/events/details/147;Oct. 14, 2004
Cage Rage 8: Knights of the Octagon;/events/details/339;Sep. 11, 2004
UFC 49: Unfinished Business;/events/details/69;Aug. 21, 2004
WEC 11: Evolution;/events/details/218;Aug. 20, 2004
PRIDE Final Conflict 2004;/events/details/148;Aug. 15, 2004
PRIDE Bushido 4;/events/details/149;Jul. 19, 2004
AFC 1;/events/details/493;Jul. 14, 2004
Gladiator FC - Day 2;/events/details/380;Jun. 27, 2004
PRIDE Critical Countdown 2004;/events/details/150;Jun. 20, 2004
UFC 48: Payback;/events/details/70;Jun. 19, 2004
KOTC 36: Unfinished Business;/events/details/330;Jun. 12, 2004
GC 27;/events/details/394;Jun. 3, 2004
GC 26;/events/details/393;Jun. 2, 2004
PRIDE Bushido 3;/events/details/151;May. 23, 2004
K-1 ROMANEX;/events/details/320;May. 22, 2004
TKO 16;/events/details/332;May. 22, 2004
WEC 10: Bragging Rights;/events/details/219;May. 21, 2004
Jungle Fight 2;/events/details/473;May. 15, 2004
FFC 9;/events/details/392;May. 14, 2004
PRIDE Total Elimination 2004;/events/details/152;Apr. 25, 2004
SuperBrawl 35;/events/details/364;Apr. 16, 2004
UFC 47: It's On!;/events/details/71;Apr. 2, 2004
K-1 Beast 2004;/events/details/317;Mar. 14, 2004
Mass Destruction 15;/events/details/398;Feb. 21, 2004
KOTC 33: After Shock;/events/details/329;Feb. 20, 2004
PRIDE Bushido 2;/events/details/153;Feb. 15, 2004
PRIDE 27: Inferno;/events/details/154;Feb. 1, 2004
UFC 46: Supernatural;/events/details/72;Jan. 31, 2004
WEC 9: Cold Blooded;/events/details/220;Jan. 16, 2004
Inoki Bom-Ba-Ye 2003;/events/details/367;Dec. 31, 2003
PRIDE Shockwave 2003;/events/details/155;Dec. 31, 2003
Heat FC 2;/events/details/397;Dec. 18, 2003
TKO 14;/events/details/331;Nov. 29, 2003
UFC 45: Revolution;/events/details/73;Nov. 21, 2003
PRIDE Final Conflict 2003;/events/details/156;Nov. 9, 2003
WEC 8: Halloween Fury 2;/events/details/221;Oct. 17, 2003
ROTR 4;/events/details/361;Oct. 10, 2003
PRIDE Bushido 1;/events/details/157;Oct. 5, 2003
UFC 44: Undisputed;/events/details/74;Sep. 26, 2003
Jungle Fight 1;/events/details/368;Sep. 13, 2003
IFC - Global Domination;/events/details/371;Sep. 6, 2003
PRIDE Total Elimination 2003;/events/details/158;Aug. 10, 2003
Meca 9;/events/details/359;Aug. 1, 2003
KOTC 24: Mayhem;/events/details/328;Jun. 14, 2003
PRIDE 26: Bad to the Bone;/events/details/159;Jun. 8, 2003
UFC 43: Meltdown;/events/details/75;Jun. 6, 2003
KOTC 23: Sin City;/events/details/327;May. 16, 2003
Meca 8;/events/details/358;May. 16, 2003
NJPW - Ultimate Crush;/events/details/476;May. 2, 2003
UFC 42: Sudden Impact;/events/details/76;Apr. 25, 2003
WEC 6: Return of a Legend;/events/details/223;Mar. 27, 2003
WAFF 2;/events/details/475;Mar. 22, 2003
PRIDE 25: Body Blow;/events/details/160;Mar. 16, 2003
UFC 41: Onslaught;/events/details/77;Feb. 28, 2003
UCC 12;/events/details/349;Jan. 25, 2003
Inoki Bom-Ba-Ye 2002;/events/details/501;Dec. 31, 2002
PRIDE 24: Cold Fury 3;/events/details/161;Dec. 23, 2002
KOTC 20: Crossroads;/events/details/326;Dec. 15, 2002
PRIDE 23: Championship Chaos 2;/events/details/162;Nov. 24, 2002
WFA 3;/events/details/583;Nov. 23, 2002
UFC 40: Vendetta;/events/details/78;Nov. 22, 2002
Meca 7;/events/details/357;Nov. 8, 2002
KOTC 17: San Jacinto;/events/details/325;Oct. 19, 2002
WEC 5: Halloween Fury;/events/details/224;Oct. 18, 2002
UCC 11;/events/details/348;Oct. 11, 2002
PRIDE 22: Beasts from the East 2;/events/details/164;Sep. 29, 2002
UFC 39: The Warriors Return;/events/details/79;Sep. 27, 2002
UCC Hawaii;/events/details/351;Sep. 17, 2002
WEC 4: Rumble Under the Sun;/events/details/225;Aug. 31, 2002
PRIDE Shockwave 2002;/events/details/165;Aug. 28, 2002
UFO - Legend;/events/details/379;Aug. 8, 2002
PRIDE The Best Vol.2;/events/details/166;Jul. 20, 2002
UFC 38: Brawl at the Hall;/events/details/80;Jul. 13, 2002
WFA 2;/events/details/582;Jul. 5, 2002
PRIDE 21: Demolition;/events/details/167;Jun. 23, 2002
UFC 37.5: As Real As It Gets;/events/details/81;Jun. 22, 2002
KOTC 15: Bad Intentions;/events/details/324;Jun. 22, 2002
KOTC 14;/events/details/323;Jun. 19, 2002
UCC 10;/events/details/347;Jun. 15, 2002
WEC 3: All or Nothing;/events/details/226;Jun. 7, 2002
UFC 37: High Impact;/events/details/82;May. 10, 2002
PRIDE 20: Armed and Ready;/events/details/168;Apr. 28, 2002
UFC 36: Worlds Collide;/events/details/83;Mar. 22, 2002
PRIDE 19: Bad Blood;/events/details/169;Feb. 24, 2002
Meca 6;/events/details/356;Jan. 31, 2002
UCC 7;/events/details/350;Jan. 25, 2002
UFC 35: Throwdown;/events/details/84;Jan. 11, 2002
Inoki Bom-Ba-Ye 2001;/events/details/499;Dec. 31, 2001
PRIDE 18: Cold Fury 2;/events/details/171;Dec. 23, 2001
PRIDE 17: Championship Chaos;/events/details/172;Nov. 3, 2001
WFA 1;/events/details/417;Nov. 3, 2001
UFC 34: High Voltage;/events/details/85;Nov. 2, 2001
UFC 33: Victory in Vegas;/events/details/86;Sep. 28, 2001
PRIDE 16: Beasts from the East;/events/details/173;Sep. 24, 2001
Shooto - To the Top 7;/events/details/346;Aug. 26, 2001
GC 5;/events/details/395;Aug. 19, 2001
K-1 2001 Japan GP Final;/events/details/500;Aug. 19, 2001
PRIDE 15: Raging Rumble;/events/details/174;Jul. 29, 2001
WEC 1: Princes of Pain;/events/details/228;Jun. 30, 2001
UFC 32: Showdown in the Meadowlands;/events/details/87;Jun. 29, 2001
Meca 5;/events/details/355;Jun. 9, 2001
PRIDE 14: Clash of the Titans;/events/details/175;May. 27, 2001
UFC 31: Locked and Loaded;/events/details/88;May. 4, 2001
PRIDE 13: Collision Course;/events/details/176;Mar. 25, 2001
Shooto - To the Top 2;/events/details/345;Mar. 2, 2001
UFC 30: Battle on the Boardwalk;/events/details/89;Feb. 23, 2001
IFC - Warriors Challenge 11;/events/details/372;Jan. 13, 2001
UFC 29: Defense of the Belts;/events/details/90;Dec. 16, 2000
Meca 4;/events/details/354;Dec. 16, 2000
PRIDE 12: Cold Fury;/events/details/177;Dec. 9, 2000
UFC 28: High Stakes;/events/details/91;Nov. 17, 2000
PRIDE 11: Battle of the Rising Sun;/events/details/178;Oct. 31, 2000
UFC 27: Ultimate Bad Boyz;/events/details/92;Sep. 22, 2000
PRIDE 10: Return of the Warriors;/events/details/179;Aug. 27, 2000
Meca 2;/events/details/353;Aug. 12, 2000
EC 35;/events/details/370;Jun. 29, 2000
UFC 26: Ultimate Field Of Dreams;/events/details/93;Jun. 9, 2000
PRIDE 9: New Blood;/events/details/180;Jun. 4, 2000
Meca 1;/events/details/352;May. 27, 2000
PRIDE Grand Prix 2000 Finals;/events/details/181;May. 1, 2000
UFC 25: Ultimate Japan 3;/events/details/94;Apr. 14, 2000
UFC 24: First Defense;/events/details/95;Mar. 10, 2000
PRIDE Grand Prix 2000 Opening Round;/events/details/182;Jan. 30, 2000
PRIDE 8;/events/details/183;Nov. 21, 1999
UFC 23: Ultimate Japan 2;/events/details/96;Nov. 19, 1999
KOTC 1;/events/details/322;Oct. 30, 1999
UFC 22: Only One Can be Champion;/events/details/97;Sep. 24, 1999
PRIDE 7;/events/details/184;Sep. 12, 1999
UFC 21: Return of the Champions;/events/details/98;Jul. 16, 1999
PRIDE 6;/events/details/185;Jul. 4, 1999
BRI 3;/events/details/383;Jun. 1, 1999
UFC 20: Battle for the Gold;/events/details/99;May. 7, 1999
PRIDE 5;/events/details/186;Apr. 29, 1999
UFC 19: Ultimate Young Guns;/events/details/100;Mar. 5, 1999
UFC 18: The Road to the Heavyweight Title;/events/details/101;Jan. 8, 1999
Vale Tudo Japan 1998;/events/details/532;Oct. 25, 1998
UFC - Ultimate Brazil;/events/details/102;Oct. 16, 1998
PRIDE 4;/events/details/187;Oct. 11, 1998
PRIDE 3;/events/details/188;Jun. 24, 1998
UFC 17: Redemption;/events/details/103;May. 15, 1998
UFC 16: Battle in the Bayou;/events/details/104;Mar. 13, 1998
PRIDE 2;/events/details/189;Mar. 5, 1998
UFC - Ultimate Japan;/events/details/105;Dec. 21, 1997
UFC 15: Collision Course;/events/details/106;Oct. 17, 1997
PRIDE 1;/events/details/190;Oct. 11, 1997
UFC 14: Showdown;/events/details/107;Jul. 27, 1997
Brazil Open '97;/events/details/396;Jun. 15, 1997
UFC 13: The Ultimate Force;/events/details/108;May. 30, 1997
UFC 12: Judgement Day;/events/details/109;Feb. 7, 1997
UFC - Ultimate Ultimate '96;/events/details/110;Dec. 7, 1996
UFC 11: The Proving Ground;/events/details/111;Sep. 20, 1996
UFC 10: The Tournament;/events/details/112;Jul. 12, 1996
UFC 9: Motor City Madness;/events/details/113;May. 17, 1996
UFC 8: David vs. Goliath;/events/details/114;Feb. 16, 1996
UFC - Ultimate Ultimate '95;/events/details/115;Dec. 16, 1995
UFC 7: The Brawl in Buffalo;/events/details/116;Sep. 8, 1995
UFC 6: Clash of the Titans;/events/details/117;Jul. 14, 1995
UFC 5: The Return of the Beast;/events/details/118;Apr. 7, 1995
UFC 4: Revenge of the Warriors;/events/details/119;Dec. 16, 1994
UFC 3: The American Dream;/events/details/120;Sep. 9, 1994
UFC 2: No Way Out;/events/details/121;Mar. 11, 1994
UFC 1: The Beginning;/events/details/122;Nov. 12, 1993
